stock_code,stock_name,theme_1,theme_2,layer
000977,浪潮信息,AI服务器,国产算力生态,core_candidate
603019,中科曙光,AI服务器,数据中心设备,core_candidate
688041,海光信息,AI芯片,国产算力生态,core_candidate
688256,寒武纪,AI芯片,国产算力生态,core_candidate
002371,北方华创,半导体设备,先进制程设备,core_candidate
688012,中微公司,半导体设备,刻蚀设备,core_candidate
688981,中芯国际,晶圆制造,国产半导体,core_candidate
300308,中际旭创,光模块,CPO,core_candidate
300502,新易盛,光模块,CPO,core_candidate
002463,沪电股份,PCB,AI服务器,core_candidate
688008,澜起科技,存储接口芯片,服务器芯片,core_candidate
603986,兆易创新,存储,MCU,satellite_candidate
600584,长电科技,先进封装,封测,satellite_candidate
002156,通富微电,先进封装,封测,satellite_candidate
300604,长川科技,半导体设备,测试设备,satellite_candidate
688120,华海清科,半导体设备,CMP设备,satellite_candidate
300394,天孚通信,光器件,CPO,satellite_candidate
300661,圣邦股份,模拟芯片,半导体设计,satellite_candidate
